127.0.0.1 - - [11/Aug/2023:16:38:04 +0200] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:38:06 +0200] "GET /Proyect/Dashboard.jsp HTTP/1.1" 200 2519
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:38:06 +0200] "GET /Proyect/alerta/themes/default.css HTTP/1.1" 200 1811
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:38:06 +0200] "GET /Proyect/alerta/alertify.css HTTP/1.1" 200 26530
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:38:06 +0200] "GET /Proyect/alerta/alertify.js HTTP/1.1" 200 139388
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:38:06 +0200] "GET /assets/logo-vt.svg HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:38:11 +0200] "POST /Proyect/validar HTTP/1.1" 200 3049
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:39:04 +0200] "POST /Proyect/validar HTTP/1.1" 200 8342
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:39:04 +0200] "GET /Proyect/css/style.css HTTP/1.1" 200 5472
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:39:04 +0200] "GET /Proyect/css/estilos.css HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:39:04 +0200] "GET /Proyect/js/script.js HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:39:04 +0200] "GET /Proyect/image/usuario.png HTTP/1.1" 200 19456
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:39:04 +0200] "GET /Proyect/image/kyc.png HTTP/1.1" 200 32168
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:39:04 +0200] "GET /Proyect/image/programador.png HTTP/1.1" 200 25328
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:39:04 +0200] "GET /Proyect/image/productos.png HTTP/1.1" 200 34566
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:39:08 +0200] "GET /Proyect/servletUsuar?ejecutar=listar&incial= HTTP/1.1" 200 16636
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:39:08 +0200] "GET /Proyect/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 736
